Sensor: LSM6DSL Accelerometer
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
474006627676960;3.0406;9.6678;0.8763;
474006647655575;2.5558;9.6582;1.1600;
474006667679229;3.0562;10.3406;0.3496;
474006687746113;3.5554;10.2735;-0.1760;
474006707680806;2.5055;9.4116;1.7154;
474006727747421;1.7597;9.8474;1.3156;
474006749577113;1.8926;10.4770;0.8056;
474006767673690;2.6013;10.2999;0.6644;
474006787643306;2.5091;10.4770;-0.1808;
474006807816190;1.6855;9.1315;1.2175;
474006827656113;2.2134;9.0058;1.1253;
474006847644806;4.3155;9.7731;0.2358;
474006867649613;4.0666;9.6426;0.5926;
474006887650959;1.5215;9.0896;-0.1640;
474006907653113;2.0901;8.8933;0.7015;
474006927653882;4.6040;9.5050;0.7410;
474006947720113;3.4812;10.1251;-0.0204;
474006967683229;1.1708;9.6067;0.1604;
474006987678575;2.9149;9.2225;0.6895;
474007007679536;3.7769;9.2548;0.4465;
474007027676728;3.3998;9.4008;-0.4729;
474007047691959;3.8499;9.4224;0.2825;
474007067728652;4.7980;9.8090;0.6847;
474007087676998;3.4285;10.1011;0.1448;
474007107677459;1.7873;9.6319;0.5698;
474007127669728;2.6839;9.3350;1.0343;
474007147661651;2.7940;9.8797;0.5183;
474007167688998;2.0470;9.9491;0.2203;
474007187685805;2.5199;9.4248;1.2043;
474007207674536;3.8283;9.5445;0.9134;
474007227655190;2.8766;9.8222;0.2466;
